Château / Entreprise,Nom du Contact,Email,Téléphone,Statut de la demande,Motif de refus,Membre de SDC,Catégorie,Apparaît dans la bible ? ,type de vins princiapl,Pôle concerné,Région,Poste,Nombre de bouteilles,Logistique,Suivi des étapes,Contexte de la demande/commentaires,Région/Appellation,Aspect RSE,Possible de démarcher à nouveau ?,"Si oui, quel type ?"
Domaine Eric Sage,,,,Non contacté,,,catégorie,Non,,Pôle concerné,,,,,,,,,,
Domaine L'Orée du Sabia,,contact@loreedusabia.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,,Défi de Bacchus,,,,,,,,,,
Vignobles Mercier,,contact@mercier-vins.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,,Défi de Bacchus,,,,,,,,,,
Domaine Coirier,,contact@domainecoirier.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,,Défi de Bacchus,,,,,,,,,,
Domaine de la Barbinière,,contact@domainedelabarbiniere.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,,Défi de Bacchus,,,,,,,,,,
Domaine Georges Vernay,,contact@georges-vernay.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,,Défi de Bacchus,,,,,,,,,,
Domaine Jean-Michel Gerin,,info@domaine-gerin.fr,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,,Défi de Bacchus,,,,,,,,,,
Domaine Guigal,,contact@guigal.com,474561022,Validé,,Marin/ Quentin/Marine,Démarchage en nature,Non,,Défi de Bacchus,,,,,,,,,,
Domaine Pierre Gaillard,,famille@gaillard.vin,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,,Défi de Bacchus,,,,,,,,,,
Domaine Bernard Gripa,,contact@domainegraillot.com,,relance faite,,Marin/ Quentin/Marine,Démarchage en nature,Non,,Défi de Bacchus,,,,,,,,,,
Domaine Alain Graillot,,,,"Contacté, sans réponse",,,Démarchage en nature,Non,,Défi de Bacchus,,,,,,,,,,
Domaine Alain Voge,,contact@alain-voge.com,,Validé,,Marin/ Quentin/Marine,Démarchage en nature,Non,,Défi de Bacchus,,,,,,,,,,
